"state","city","avg_age_of_customer"
"Indiana","New Albany","40.0000000000000000"
"Iowa","Burlington","39.0000000000000000"
"Iowa","Des Moines","46.0000000000000000"
"Iowa","Urbandale","36.0000000000000000"
"Kansas","Olathe","20.0000000000000000"
"Kentucky","Bowling Green","54.0000000000000000"
"Kentucky","Henderson","61.6666666666666667"
"Kentucky","Louisville","37.3333333333333333"
"Kentucky","Murray","58.0000000000000000"
"Kentucky","Richmond","51.0000000000000000"
"Louisiana","Bossier City","59.0000000000000000"
"Louisiana","Lafayette","24.0000000000000000"
"Louisiana","Lake Charles","63.0000000000000000"
"Louisiana","Monroe","57.6666666666666667"
"Maryland","Baltimore","23.0000000000000000"
"Maryland","Clinton","48.5000000000000000"
"Maryland","Columbia","42.0000000000000000"
"Massachusetts","Everett","63.0000000000000000"
"Massachusetts","Franklin","65.5000000000000000"
"Massachusetts","Lawrence","38.0000000000000000"
"Massachusetts","Lowell","35.0000000000000000"
"Massachusetts","Quincy","65.0000000000000000"
"mh","nagpur","25.5000000000000000"
"Michigan","Dearborn","64.0000000000000000"
"Michigan","Detroit","48.8333333333333333"
"Michigan","Jackson","30.5000000000000000"
"Michigan","Lansing","45.0000000000000000"
"Michigan","Lincoln Park","26.0000000000000000"
"Michigan","Rochester Hills","30.0000000000000000"
"Michigan","Saginaw","51.0000000000000000"
"Michigan","Taylor","59.0000000000000000"
"Michigan","Trenton","38.0000000000000000"
"Michigan","Westland","64.0000000000000000"
"Minnesota","Cottage Grove","48.0000000000000000"
"Minnesota","Eagan","27.0000000000000000"
"Minnesota","Lakeville","25.0000000000000000"
"Minnesota","Minneapolis","54.7500000000000000"
"Minnesota","Rochester","51.0000000000000000"
"Minnesota","Saint Paul","52.0000000000000000"
"Mississippi","Gulfport","22.0000000000000000"
"Mississippi","Jackson","34.5000000000000000"
"Missouri","Gladstone","59.0000000000000000"
"Missouri","Independence","52.0000000000000000"
"Missouri","Saint Louis","33.5000000000000000"
"Missouri","Saint Peters","53.0000000000000000"
"Missouri","Springfield","36.0000000000000000"
"Nebraska","Fremont","67.0000000000000000"
"Nebraska","Omaha","51.0000000000000000"
"Nevada","Las Vegas","35.0000000000000000"
"Nevada","North Las Vegas","40.0000000000000000"
"New Hampshire","Concord","31.0000000000000000"
"New Hampshire","Dover","48.0000000000000000"
"New Jersey","Belleville","45.0000000000000000"
"New Jersey","Bridgeton","28.0000000000000000"
"New Jersey","Hackensack","21.0000000000000000"
"New Jersey","Lakewood","54.5000000000000000"
"New Jersey","Linden","18.0000000000000000"
"New Jersey","New Brunswick","38.0000000000000000"
"New Jersey","Perth Amboy","36.0000000000000000"
"New Jersey","Vineland","54.0000000000000000"
"New Jersey","Westfield","69.0000000000000000"
"New Mexico","Albuquerque","45.5000000000000000"
"New Mexico","Carlsbad","26.0000000000000000"
"New Mexico","Las Cruces","69.0000000000000000"
"New York","Auburn","55.5000000000000000"
"New York","Buffalo","42.0000000000000000"
"New York","Jamestown","66.0000000000000000"
"New York","Lindenhurst","51.0000000000000000"
"New York","Long Beach","65.0000000000000000"
"New York","Mount Vernon","45.0000000000000000"
"New York","New Rochelle","70.0000000000000000"
"New York","New York City","44.6323529411764706"
"New York","Niagara Falls","42.0000000000000000"
"New York","Oceanside","50.0000000000000000"
"New York","Rochester","29.5000000000000000"
"New York","Troy","32.0000000000000000"
"New York","Watertown","38.5000000000000000"
"North Carolina","Asheville","69.0000000000000000"
"North Carolina","Burlington","32.6666666666666667"
"North Carolina","Cary","20.0000000000000000"
"North Carolina","Chapel Hill","63.0000000000000000"
"North Carolina","Charlotte","46.0000000000000000"
"North Carolina","Concord","50.0000000000000000"
"North Carolina","Durham","56.0000000000000000"
"North Carolina","Fayetteville","47.0000000000000000"
"North Carolina","Gastonia","60.0000000000000000"
"North Carolina","Greensboro","59.0000000000000000"
"North Carolina","Greenville","54.0000000000000000"
"North Carolina","Jacksonville","47.2500000000000000"
"North Carolina","Monroe","49.5000000000000000"
"North Carolina","Raleigh","33.0000000000000000"
"North Carolina","Thomasville","41.0000000000000000"
"North Carolina","Wilmington","51.6666666666666667"
"Ohio","Akron","42.0000000000000000"
"Ohio","Cincinnati","43.6666666666666667"
"Ohio","Cleveland","44.0000000000000000"
"Ohio","Columbus","39.2500000000000000"
"Ohio","Dublin","43.5000000000000000"
"Ohio","Grove City","60.0000000000000000"
"Ohio","Hamilton","43.0000000000000000"
"Ohio","Kent","36.0000000000000000"
"Ohio","Lakewood","20.0000000000000000"
"Ohio","Lancaster","54.0000000000000000"
"Ohio","Lorain","33.0000000000000000"
"Ohio","Marion","56.0000000000000000"
"Ohio","Medina","62.0000000000000000"
"Ohio","Newark","47.3333333333333333"
"Ohio","Parma","26.0000000000000000"
"Ohio","Springfield","47.3333333333333333"
"Ohio","Toledo","32.0000000000000000"
"Oklahoma","Edmond","64.0000000000000000"
"Oklahoma","Oklahoma City","63.0000000000000000"
"Oklahoma","Tulsa","32.0000000000000000"
"Oregon","Portland","63.0000000000000000"
"Oregon","Salem","61.0000000000000000"
"Oregon","Tigard","29.0000000000000000"
"Pennsylvania","Chester","38.3333333333333333"
"Pennsylvania","Lancaster","28.0000000000000000"
"Pennsylvania","Philadelphia","46.2826086956521739"
"Rhode Island","Cranston","65.0000000000000000"
"Rhode Island","Providence","56.3333333333333333"
"Rhode Island","Warwick","33.0000000000000000"
"South Dakota","Sioux Falls","63.0000000000000000"
"Tennessee","Bristol","52.0000000000000000"
"Tennessee","Clarksville","50.0000000000000000"
"Tennessee","Columbia","48.2500000000000000"
"Tennessee","Franklin","27.0000000000000000"
"Tennessee","Jackson","57.0000000000000000"
"Tennessee","Memphis","25.0000000000000000"
"Tennessee","Murfreesboro","43.0000000000000000"
"Texas","Allen","37.0000000000000000"
"Texas","Amarillo","30.0000000000000000"
"Texas","Arlington","20.0000000000000000"
"Texas","Austin","68.5000000000000000"
"Texas","Brownsville","52.0000000000000000"
"Texas","Carrollton","35.0000000000000000"
"Texas","College Station","63.0000000000000000"
"Texas","Conroe","32.0000000000000000"
"Texas","Coppell","26.0000000000000000"
"Texas","Dallas","40.3076923076923077"
"Texas","El Paso","65.0000000000000000"
"Texas","Fort Worth","42.5000000000000000"
"Texas","Grand Prairie","52.6666666666666667"
"Texas","Grapevine","25.0000000000000000"
"Texas","Harlingen","53.0000000000000000"
"Texas","Houston","48.2500000000000000"
"Texas","Huntsville","38.0000000000000000"
"Texas","Irving","44.0000000000000000"
"Texas","Laredo","61.0000000000000000"
"Texas","Mcallen","41.0000000000000000"
"Texas","Mesquite","64.0000000000000000"
"Texas","Pasadena","50.0000000000000000"
"Texas","Plano","56.0000000000000000"
"Texas","Richardson","28.0000000000000000"
"Texas","Round Rock","67.0000000000000000"
"Texas","San Antonio","41.0000000000000000"
"Texas","Tyler","61.0000000000000000"
"Utah","Lehi","53.0000000000000000"
"Utah","Murray","64.0000000000000000"
"Utah","Orem","43.5000000000000000"
"Utah","Salt Lake City","61.0000000000000000"
"Utah","West Jordan","18.0000000000000000"
"Virginia","Arlington","58.5000000000000000"
"Virginia","Charlottesville","46.0000000000000000"
"Virginia","Salem","70.0000000000000000"
"Virginia","Springfield","55.0000000000000000"
"Virginia","Suffolk","21.5000000000000000"
"Virginia","Virginia Beach","45.3333333333333333"
"Virginia","Waynesboro","70.0000000000000000"
"Washington","Des Moines","63.0000000000000000"
"Washington","Kent","35.0000000000000000"
"Washington","Marysville","38.0000000000000000"
"Washington","Olympia","47.0000000000000000"
"Washington","Seattle","45.6451612903225806"
"Washington","Spokane","19.0000000000000000"
"Washington","Vancouver","31.5000000000000000"
"Wisconsin","Franklin","49.0000000000000000"
"Wisconsin","Green Bay","57.0000000000000000"
"Wisconsin","Kenosha","48.5000000000000000"
"Wisconsin","Madison","46.0000000000000000"
"Wisconsin","Milwaukee","36.3333333333333333"
NULL,NULL,NULL
