"product_name","order_date","sales_per_quantity"
"3.6 Cubic Foot Counter Height Office Refrigerator","2017-08-07","294.62"
"3.6 Cubic Foot Counter Height Office Refrigerator","2017-09-14","235.696"
"3.6 Cubic Foot Counter Height Office Refrigerator","2017-12-02","58.924"
"36X48 HARDFLOOR CHAIRMAT","2017-07-08","20.98"
"36X48 HARDFLOOR CHAIRMAT","2017-08-17","8.392"
"36X48 HARDFLOOR CHAIRMAT","2017-10-06","20.98"
"3D Systems Cube Printer  2nd Generation  Magenta","2017-10-05","1299.99"
"3D Systems Cube Printer  2nd Generation  White","2017-11-21","1039.992"
"3M Hangers With Command Adhesive","2017-04-30","2.96"
"3M Hangers With Command Adhesive","2017-12-28","2.59"
"3M Office Air Cleaner","2017-07-31","25.98"
"3M Organizer Strips","2017-03-07","4.32"
"3M Organizer Strips","2017-04-06","1.6199999999999999"
"3M Organizer Strips","2017-09-09","1.62"
"3M Organizer Strips","2017-09-10","5.3999999999999995"
"3M Organizer Strips","2017-11-14","4.32"
"3M Polarizing Task Lamp with Clamp Arm  Light Gray","2017-04-08","136.98"
"3M Polarizing Task Lamp with Clamp Arm  Light Gray","2017-11-19","136.98"
"4009 Highlighters by Sanford","2017-06-24","3.98"
"4009 Highlighters by Sanford","2017-07-03","3.1839999999999997"
"4009 Highlighters by Sanford","2017-10-30","3.9799999999999995"
"50 Colored Long Pencils","2017-04-07","8.128"
"6 Cubicle Wall Clock  Black","2017-09-11","8.09"
"6 Cubicle Wall Clock  Black","2017-12-09","3.236"
"9-3/4 Diameter Round Wall Clock","2017-11-03","13.79"
"9-3/4 Diameter Round Wall Clock","2017-11-09","13.790000000000001"
"9-3/4 Diameter Round Wall Clock","2017-11-20","13.79"
"Aastra 57i VoIP phone","2017-02-26","129.288"
"Aastra 57i VoIP phone","2017-08-10","161.61"
"Acco 3-Hole Punch","2017-04-14","4.38"
"Acco 3-Hole Punch","2017-07-31","4.38"
"Acco 3-Hole Punch","2017-10-21","4.38"
"Acco 3-Hole Punch","2017-11-12","3.504"
"Acco 3-Hole Punch","2017-12-01","3.504"
"Acco 6 Outlet Guardian Premium Plus Surge Suppressor","2017-05-23","3.664"
"Acco 6 Outlet Guardian Premium Plus Surge Suppressor","2017-08-28","18.32"
"Acco 6 Outlet Guardian Premium Plus Surge Suppressor","2017-10-02","3.664"
"Acco 6 Outlet Guardian Premium Plus Surge Suppressor","2017-12-23","3.664"
"Acco 6 Outlet Guardian Premium Surge Suppressor","2017-03-03","14.559999999999999"
"Acco 6 Outlet Guardian Standard Surge Suppressor","2017-09-10","12.09"
"Acco 7-Outlet Masterpiece Power Center  Wihtout Fax/Phone Line Protection","2017-04-21","24.316"
"Acco 7-Outlet Masterpiece Power Center  Wihtout Fax/Phone Line Protection","2017-05-04","121.58"
"Acco 7-Outlet Masterpiece Power Center  Wihtout Fax/Phone Line Protection","2017-10-30","121.58"
"Acco 7-Outlet Masterpiece Power Center  Wihtout Fax/Phone Line Protection","2017-11-18","97.264"
"Acco Bankers Clasps  5 3/4-Long","2017-06-24","2.88"
"Acco Bankers Clasps  5 3/4-Long","2017-12-14","2.8800000000000003"
"Acco Clips to Go Binder Clips  24 Clips in Two Sizes","2017-09-11","3.55"
"Acco D-Ring Binder w/DublLock","2017-01-15","4.276"
"Acco D-Ring Binder w/DublLock","2017-06-20","17.104"
"Acco D-Ring Binder w/DublLock","2017-08-18","4.276"
"Acco Data Flex Cable Posts For Top & Bottom Load Binders  6 Capacity","2017-04-24","2.086"
"Acco Data Flex Cable Posts For Top & Bottom Load Binders  6 Capacity","2017-09-09","3.129"
"Acco Data Flex Cable Posts For Top & Bottom Load Binders  6 Capacity","2017-11-19","8.344"
"Acco Data Flex Cable Posts For Top & Bottom Load Binders  6 Capacity","2017-12-16","8.344"
"Acco Economy Flexible Poly Round Ring Binder","2017-12-26","1.566"
"Acco Expandable Hanging Binders","2017-07-18","1.914"
"Acco Flexible ACCOHIDE Square Ring Data Binder  Dark Blue  11 1/2 X 14 7/8","2017-05-11","13.016"
"Acco Flexible ACCOHIDE Square Ring Data Binder  Dark Blue  11 1/2 X 14 7/8","2017-08-21","13.016"
"Acco Flexible ACCOHIDE Square Ring Data Binder  Dark Blue  11 1/2 X 14 7/8","2017-10-23","3.254"
"Acco Four Pocket Poly Ring Binder with Label Holder  Smoke  1","2017-07-11","5.96"
"Acco Four Pocket Poly Ring Binder with Label Holder  Smoke  1","2017-12-24","5.96"
"Acco Glide Clips","2017-12-29","3.9200000000000004"
"Acco Hot Clips Clips to Go","2017-05-25","3.29"
"Acco Hot Clips Clips to Go","2017-09-11","2.632"
"Acco Perma 2700 Stacking Storage Drawers","2017-09-18","23.792"
"Acco Perma 2700 Stacking Storage Drawers","2017-10-21","23.792"
"Acco Perma 3000 Stacking Storage Drawers","2017-08-16","16.784"
"Acco Perma 3000 Stacking Storage Drawers","2017-09-04","16.784"
"Acco Perma 3000 Stacking Storage Drawers","2017-09-21","15.51"
"Acco Perma 3000 Stacking Storage Drawers","2017-09-24","15.51"
"Acco Perma 4000 Stacking Storage Drawers","2017-03-23","16.24"
"Acco Pressboard Covers with Storage Hooks  14 7/8 x 11  Dark Blue","2017-02-11","3.0479999999999996"
"Acco Pressboard Covers with Storage Hooks  14 7/8 x 11  Dark Blue","2017-06-11","3.048"
"Acco Pressboard Covers with Storage Hooks  14 7/8 x 11  Dark Blue","2017-12-01","1.143"
"Acco Pressboard Covers with Storage Hooks  14 7/8 x 11  Executive Red","2017-02-17","1.143"
"Acco Pressboard Covers with Storage Hooks  14 7/8 x 11  Executive Red","2017-03-30","1.143"
"Acco Pressboard Covers with Storage Hooks  14 7/8 x 11  Executive Red","2017-06-11","1.143"
"Acco Pressboard Covers with Storage Hooks  14 7/8 x 11  Light Blue","2017-04-10","1.4729999999999999"
"Acco Pressboard Covers with Storage Hooks  14 7/8 x 11  Light Blue","2017-05-18","0.982"
"Acco Pressboard Covers with Storage Hooks  14 7/8 x 11  Light Blue","2017-09-17","3.9280000000000004"
"Acco Pressboard Covers with Storage Hooks  9 1/2 x 11  Executive Red","2017-03-17","3.048"
"Acco Pressboard Covers with Storage Hooks  9 1/2 x 11  Executive Red","2017-05-18","3.048"
"Acco Pressboard Covers with Storage Hooks  9 1/2 x 11  Executive Red","2017-12-17","3.048"
"Acco PRESSTEX Data Binder with Storage Hooks  Dark Blue  14 7/8 X 11","2017-10-14","5.38"
"Acco PRESSTEX Data Binder with Storage Hooks  Dark Blue  9 1/2 X 11","2017-09-19","1.6139999999999999"
"Acco PRESSTEX Data Binder with Storage Hooks  Light Blue  9 1/2 X 11","2017-04-30","1.6139999999999999"
"Acco PRESSTEX Data Binder with Storage Hooks  Light Blue  9 1/2 X 11","2017-09-23","4.304"
"Acco Recycled 2 Capacity Laser Printer Hanging Data Binders","2017-02-06","11.56"
"Acco Recycled 2 Capacity Laser Printer Hanging Data Binders","2017-12-09","4.335"
"Acco Side-Punched Conventional Columnar Pads","2017-08-17","2.776"
"Acco Six-Outlet Power Strip  4 Cord Length","2017-01-24","8.62"
"Acco Six-Outlet Power Strip  4 Cord Length","2017-05-18","8.62"
"Acco Six-Outlet Power Strip  4 Cord Length","2017-09-02","8.620000000000001"
"Acco Six-Outlet Power Strip  4 Cord Length","2017-11-21","8.62"
"Acco Smartsocket Color-Coded Six-Outlet AC Adapter Model Surge Protectors","2017-03-25","44.01"
"Acco Smartsocket Table Surge Protector  6 Color-Coded Adapter Outlets","2017-04-24","49.64"
"Acco Suede Grain Vinyl Round Ring Binder","2017-03-02","0.556"
"Acco Suede Grain Vinyl Round Ring Binder","2017-07-14","2.224"
"Acco Suede Grain Vinyl Round Ring Binder","2017-08-31","2.2239999999999998"
"Acco Suede Grain Vinyl Round Ring Binder","2017-09-04","2.2239999999999998"
"Acco Translucent Poly Ring Binders","2017-01-21","3.7439999999999998"
"Acco Translucent Poly Ring Binders","2017-08-24","3.744"
"Acco Translucent Poly Ring Binders","2017-09-02","3.7439999999999998"
"ACCOHIDE 3-Ring Binder  Blue  1","2017-02-24","1.239"
"ACCOHIDE 3-Ring Binder  Blue  1","2017-03-19","3.3040000000000003"
"ACCOHIDE 3-Ring Binder  Blue  1","2017-09-02","3.304"
"ACCOHIDE Binder by Acco","2017-09-22","4.13"
"ACCOHIDE Binder by Acco","2017-09-25","4.13"
"Accohide Poly Flexible Ring Binders","2017-11-13","1.122"
"Accohide Poly Flexible Ring Binders","2017-12-16","2.992"
"Acme 10 Easy Grip Assistive Scissors","2017-04-23","17.529999999999998"
"Acme 10 Easy Grip Assistive Scissors","2017-08-06","17.53"
"Acme 10 Easy Grip Assistive Scissors","2017-10-30","17.53"
"Acme Box Cutter Scissors","2017-06-29","10.23"
"Acme Elite Stainless Steel Scissors","2017-02-13","8.34"
"Acme Elite Stainless Steel Scissors","2017-06-16","8.34"
"Acme Elite Stainless Steel Scissors","2017-11-19","6.672"
"Acme Forged Steel Scissors with Black Enamel Handles","2017-05-22","7.448"
"Acme Forged Steel Scissors with Black Enamel Handles","2017-08-21","9.31"
"Acme Forged Steel Scissors with Black Enamel Handles","2017-11-12","9.31"
"Acme Galleria Hot Forged Steel Scissors with Colored Handles","2017-01-07","15.73"
"Acme Galleria Hot Forged Steel Scissors with Colored Handles","2017-07-25","12.584000000000001"
"Acme Hot Forged Carbon Steel Scissors with Nickel-Plated Handles  3 7/8 Cut  8L","2017-09-29","13.9"
"Acme Hot Forged Carbon Steel Scissors with Nickel-Plated Handles  3 7/8 Cut  8L","2017-12-21","13.9"
"Acme Kleen Earth Office Shears","2017-08-31","3.104"
"Acme Kleencut Forged Steel Scissors","2017-07-18","4.592"
"Acme Kleencut Forged Steel Scissors","2017-08-20","5.739999999999999"
"Acme Office Executive Series Stainless Steel Trimmers","2017-01-29","8.57"
"Acme Office Executive Series Stainless Steel Trimmers","2017-12-14","8.57"
"Acme Preferred Stainless Steel Scissors","2017-06-26","5.68"
"Acme Preferred Stainless Steel Scissors","2017-08-27","5.68"
"Acme Softgrip Scissors","2017-10-02","6.5120000000000005"
"Acme Stainless Steel Office Snips","2017-08-28","7.27"
"Acme Tagit Stainless Steel Antibacterial Scissors","2017-01-30","7.92"
"Acme Tagit Stainless Steel Antibacterial Scissors","2017-03-31","9.9"
"Acme Tagit Stainless Steel Antibacterial Scissors","2017-06-08","7.920000000000001"
"Acme Titanium Bonded Scissors","2017-05-12","8.5"
"Acme Titanium Bonded Scissors","2017-11-11","8.5"
"Acme Value Line Scissors","2017-09-24","3.65"
"Acrylic Self-Standing Desk Frames","2017-05-30","2.67"
"Acrylic Self-Standing Desk Frames","2017-12-24","2.136"
"Adams Phone Message Book  200 Message Capacity  8 1/16” x 11”","2017-05-02","6.88"
"Adams Phone Message Book  200 Message Capacity  8 1/16” x 11”","2017-08-05","6.88"
"Adams Phone Message Book  200 Message Capacity  8 1/16” x 11”","2017-09-20","6.88"
"Adams Phone Message Book  200 Message Capacity  8 1/16” x 11”","2017-12-08","6.88"
"Adams Phone Message Book  Professional  400 Message Capacity  5 3/6” x 11”","2017-05-12","17.52"
"Adams Telephone Message Book W/Dividers/Space For Phone Numbers  5 1/4X8 1/2  300/Messages","2017-02-17","5.88"
"Adams Telephone Message Book W/Dividers/Space For Phone Numbers  5 1/4X8 1/2  300/Messages","2017-09-30","5.88"
"Adams Telephone Message Book W/Dividers/Space For Phone Numbers  5 1/4X8 1/2  300/Messages","2017-11-02","5.88"
"Adams Telephone Message Book W/Dividers/Space For Phone Numbers  5 1/4X8 1/2  300/Messages","2017-11-24","5.88"
"Adams Telephone Message Book W/Dividers/Space For Phone Numbers  5 1/4X8 1/2  300/Messages","2017-12-04","5.88"
"Adams Telephone Message Book w/Frequently-Called Numbers Space  400 Messages per Book","2017-05-29","7.98"
"Adams Telephone Message Book w/Frequently-Called Numbers Space  400 Messages per Book","2017-09-12","7.9799999999999995"
"Adams Telephone Message Book w/Frequently-Called Numbers Space  400 Messages per Book","2017-09-18","7.98"
"Adams Telephone Message Book w/Frequently-Called Numbers Space  400 Messages per Book","2017-09-21","7.9799999999999995"
"Adams Telephone Message Books  5 1/4” x 11”","2017-11-04","4.832"
"Adams While You Were Out Message Pads","2017-05-02","3.1399999999999997"
"Adams Write n Stick Phone Message Book  11 X 5 1/4  200 Messages","2017-10-13","4.544"
"Adjustable Depth Letter/Legal Cart","2017-03-21","181.46"
"Adjustable Depth Letter/Legal Cart","2017-10-06","145.168"
"Adjustable Depth Letter/Legal Cart","2017-10-07","145.168"
"Adjustable Depth Letter/Legal Cart","2017-11-09","181.46"
"Adjustable Depth Letter/Legal Cart","2017-12-17","181.46"
"Adjustable Depth Letter/Legal Cart","2017-12-28","181.46"
"Adjustable Personal File Tote","2017-03-29","16.28"
"Adjustable Personal File Tote","2017-09-08","16.28"
"Adjustable Personal File Tote","2017-12-17","16.28"
"Adtran 1202752G1","2017-11-10","100.792"
"Adtran 1202752G1","2017-12-29","100.79199999999999"
"Advantus 10-Drawer Portable Organizer  Chrome Metal Frame  Smoke Drawers","2017-03-30","59.76"
"Advantus 10-Drawer Portable Organizer  Chrome Metal Frame  Smoke Drawers","2017-09-07","59.76"
"Advantus 10-Drawer Portable Organizer  Chrome Metal Frame  Smoke Drawers","2017-09-19","47.808"
"Advantus Employee of the Month Certificate Frame  11 x 13-1/2","2017-03-19","30.93"
"Advantus Employee of the Month Certificate Frame  11 x 13-1/2","2017-05-28","30.93"
"Advantus Map Pennant Flags and Round Head Tacks","2017-03-05","3.95"
"Advantus Panel Wall Acrylic Frame","2017-12-02","2.188"
"Advantus Panel Wall Certificate Holder - 8.5x11","2017-03-31","12.2"
"Advantus Panel Wall Certificate Holder - 8.5x11","2017-06-30","9.76"
"Advantus Plastic Paper Clips","2017-05-03","4"
"Advantus Plastic Paper Clips","2017-08-21","5"
"Advantus Plastic Paper Clips","2017-09-02","4"
"Advantus Plastic Paper Clips","2017-09-29","5"
"Advantus Push Pins","2017-09-20","2.18"
"Advantus Push Pins  Aluminum Head","2017-12-01","5.81"
"Advantus Rolling Drawer Organizers","2017-12-04","30.784"
"Advantus Rolling Storage Box","2017-01-22","17.150000000000002"
"Advantus Rolling Storage Box","2017-06-02","13.72"
"Advantus Rolling Storage Box","2017-08-29","13.72"
"Advantus Rolling Storage Box","2017-10-23","13.72"
"Advantus T-Pin Paper Clips","2017-11-21","4.51"
"Advantus T-Pin Paper Clips","2017-11-24","3.608"
"Airmail Envelopes","2017-01-21","67.144"
"Akro-Mils 12-Gallon Tote","2017-12-08","9.93"
"Akro Stacking Bins","2017-09-19","6.312"
"Alliance Rubber Bands","2017-02-23","1.6800000000000002"
"Alphabetical Labels for Top Tab Filing","2017-06-10","14.8"
"Alphabetical Labels for Top Tab Filing","2017-06-25","11.840000000000002"
"Alphabetical Labels for Top Tab Filing","2017-11-04","11.84"
"Aluminum Document Frame","2017-09-23","9.776"
"Aluminum Screw Posts","2017-09-12","15.26"
"Aluminum Screw Posts","2017-09-14","4.578"
"Aluminum Screw Posts","2017-11-23","3.052"
"Aluminum Screw Posts","2017-12-02","4.578"
"AmazonBasics 3-Button USB Wired Mouse","2017-07-07","5.592"
"American Pencil","2017-03-04","2.33"
"American Pencil","2017-11-27","2.33"
"Ames Color-File Green Diamond Border X-ray Mailers","2017-11-24","83.98"
"Ampad #10 Peel & Seel Holiday Envelopes","2017-10-19","4.48"
"Ampad Evidence Wirebond Steno Books  6 x 9","2017-08-23","1.7440000000000002"
"Ampad Gold Fibre Wirebound Steno Books  6 x 9  Gregg Ruled","2017-03-27","4.41"
"Ampad Gold Fibre Wirebound Steno Books  6 x 9  Gregg Ruled","2017-09-16","4.41"
"Ampad Gold Fibre Wirebound Steno Books  6 x 9  Gregg Ruled","2017-11-05","4.41"
"Ampad Gold Fibre Wirebound Steno Books  6 x 9  Gregg Ruled","2017-12-17","4.41"
"Ampad Phone Message Book  Recycled  400 Message Capacity  5 ¾” x 11”","2017-02-23","6.239999999999999"
"Ampad Phone Message Book  Recycled  400 Message Capacity  5 ¾” x 11”","2017-05-11","6.239999999999999"
"Ampad Phone Message Book  Recycled  400 Message Capacity  5 ¾” x 11”","2017-06-04","6.24"
"Ampad Poly Cover Wirebound Steno Book  6 x 9 Assorted Colors  Gregg Ruled","2017-06-26","4.54"
"Anderson Hickey Conga Table Tops & Accessories","2017-10-19","12.184"
"Angle-D Binders with Locking Rings  Label Holders","2017-11-17","7.3"
"Angle-D Binders with Locking Rings  Label Holders","2017-12-11","5.84"
"Angle-D Ring Binders","2017-06-12","4.376"
"Angle-D Ring Binders","2017-07-23","4.376"
"Angle-D Ring Binders","2017-12-22","1.641"
"Anker 24W Portable Micro USB Car Charger","2017-08-28","8.792"
"Anker 36W 4-Port USB Wall Charger Travel Power Adapter for iPhone 5s 5c 5","2017-02-02","11.994"
"Anker 36W 4-Port USB Wall Charger Travel Power Adapter for iPhone 5s 5c 5","2017-06-15","15.991999999999999"
"Anker 36W 4-Port USB Wall Charger Travel Power Adapter for iPhone 5s 5c 5","2017-07-05","19.99"
"Anker Astro 15000mAh USB Portable Charger","2017-11-05","49.99"
"Anker Astro 15000mAh USB Portable Charger","2017-12-02","39.992"
"Anker Astro Mini 3000mAh Ultra-Compact Portable Charger","2017-10-13","15.992"
"Anker Ultra-Slim Mini Bluetooth 3.0 Wireless Keyboard","2017-11-07","19.99"
"Anker Ultrathin Bluetooth Wireless Keyboard Aluminum Cover with Stand ","2017-01-27","23.992"
"Anker Ultrathin Bluetooth Wireless Keyboard Aluminum Cover with Stand ","2017-06-20","29.99"
"Anker Ultrathin Bluetooth Wireless Keyboard Aluminum Cover with Stand ","2017-11-13","29.99"
"APC 7 Outlet Network SurgeArrest Surge Protector","2017-03-21","64.384"
"APC 7 Outlet Network SurgeArrest Surge Protector","2017-08-27","80.48"
"APC 7 Outlet Network SurgeArrest Surge Protector","2017-09-21","80.48"
"APC 7 Outlet Network SurgeArrest Surge Protector","2017-09-23","80.48"
"Apple EarPods with Remote and Mic","2017-05-18","27.99"
"Apple iPhone 5","2017-09-20","649.83"
"Apple iPhone 5","2017-09-24","389.89799999999997"
"Apple iPhone 5S","2017-07-07","341.994"
"Apple iPhone 5S","2017-11-20","569.99"
"ARKON Windshield Dashboard Air Vent Car Mount Holder","2017-01-14","16.95"
"Array Memo Cubes","2017-09-24","5.18"
"Artistic Insta-Plaque","2017-01-26","15.68"
"Assorted Color Push Pins","2017-07-29","1.448"
"Assorted Color Push Pins","2017-12-25","1.81"
"Astroparche Fine Business Paper","2017-09-09","5.28"
"Astroparche Fine Business Paper","2017-11-06","5.279999999999999"
"AT&T 1080 Corded phone","2017-04-07","109.592"
"AT&T 1080 Corded phone","2017-12-03","136.99"
"AT&T 1080 Corded phone","2017-12-27","82.194"
"AT&T 17929 Lendline Telephone","2017-12-25","45.24"
"AT&T 841000 Phone","2017-01-30","69"
"AT&T 841000 Phone","2017-04-24","55.2"
"AT&T CL82213","2017-09-22","28.99"
"AT&T CL83451 4-Handset Telephone","2017-03-30","164.792"
"AT&T CL83451 4-Handset Telephone","2017-09-18","205.99"
"AT&T SB67148 SynJ","2017-12-01","52.792"
"Ativa D5772 2-Line 5.8GHz Digital Expandable Corded/Cordless Phone System with Answering & Caller ID/Call Waiting  Black/Silver","2017-01-21","164.99"
"Ativa D5772 2-Line 5.8GHz Digital Expandable Corded/Cordless Phone System with Answering & Caller ID/Call Waiting  Black/Silver","2017-08-06","164.99"
"Ativa D5772 2-Line 5.8GHz Digital Expandable Corded/Cordless Phone System with Answering & Caller ID/Call Waiting  Black/Silver","2017-12-23","164.99"
"Atlantic Metals Mobile 2-Shelf Bookcases  Custom Colors","2017-11-17","163.8664"
"Atlantic Metals Mobile 3-Shelf Bookcases  Custom Colors","2017-09-15","260.98"
"Atlantic Metals Mobile 4-Shelf Bookcases  Custom Colors","2017-07-17","238.833"
"Atlantic Metals Mobile 5-Shelf Bookcases  Custom Colors","2017-02-06","240.784"
"Atlantic Metals Mobile 5-Shelf Bookcases  Custom Colors","2017-03-27","204.6664"
"Atlantic Metals Mobile 5-Shelf Bookcases  Custom Colors","2017-05-30","204.6664"
"Atlantic Metals Mobile 5-Shelf Bookcases  Custom Colors","2017-09-23","90.294"
"Avanti 1.7 Cu. Ft. Refrigerator","2017-05-18","100.98"
"Avanti 1.7 Cu. Ft. Refrigerator","2017-08-24","80.784"
"Avanti 1.7 Cu. Ft. Refrigerator","2017-10-21","80.784"
"Avanti 4.4 Cu. Ft. Refrigerator","2017-01-19","180.98000000000002"
"Avanti 4.4 Cu. Ft. Refrigerator","2017-08-12","180.98000000000002"
"Avanti 4.4 Cu. Ft. Refrigerator","2017-10-13","180.98"
"Avaya 5410 Digital phone","2017-04-20","40.794000000000004"
"Avaya 5420 Digital phone","2017-07-17","134.99"
"Avaya 5420 Digital phone","2017-09-15","107.992"
"Avery 05222 Permanent Self-Adhesive File Folder Labels for Typewriters  on Rolls  White  250/Roll","2017-03-27","4.13"
"Avery 3 1/2 Diskette Storage Pages  10/Pack","2017-01-02","3.132"
"Avery 3 1/2 Diskette Storage Pages  10/Pack","2017-05-04","3.132"
"Avery 4027 File Folder Labels for Dot Matrix Printers  5000 Labels per Box  White","2017-03-07","30.53"
"Avery 4027 File Folder Labels for Dot Matrix Printers  5000 Labels per Box  White","2017-05-06","24.424"
"Avery 4027 File Folder Labels for Dot Matrix Printers  5000 Labels per Box  White","2017-10-15","30.53"
"Avery 4027 File Folder Labels for Dot Matrix Printers  5000 Labels per Box  White","2017-12-08","30.53"
"Avery 473","2017-02-11","10.35"
"Avery 473","2017-08-03","10.35"
"Avery 473","2017-12-28","10.35"
"Avery 474","2017-03-17","2.304"
"Avery 474","2017-04-17","2.88"
"Avery 474","2017-04-30","2.304"
"Avery 475","2017-08-05","14.799999999999999"
"Avery 475","2017-12-16","14.799999999999999"
"Avery 476","2017-08-03","3.304"
"Avery 476","2017-11-03","4.13"
"Avery 478","2017-04-26","4.91"
"Avery 478","2017-10-15","4.91"
"Avery 478","2017-10-20","4.91"
"Avery 48","2017-04-09","5.04"
"Avery 48","2017-09-14","6.300000000000001"
"Avery 480","2017-07-30","3.75"
"Avery 481","2017-08-06","3.08"
"Avery 481","2017-11-04","2.464"
"Avery 482","2017-07-11","2.89"
"Avery 483","2017-11-12","4.98"
"Avery 483","2017-12-01","3.984"
"Avery 485","2017-07-08","12.530000000000001"
"Avery 486","2017-03-17","7.31"
"Avery 486","2017-07-20","7.31"
"Avery 486","2017-08-13","5.848"
"Avery 487","2017-11-18","3.69"
"Avery 489","2017-10-13","8.28"
"Avery 49","2017-03-06","2.88"
"Avery 49","2017-12-13","2.8800000000000003"
"Avery 490","2017-06-15","14.799999999999999"
"Avery 491","2017-05-19","3.304"
"Avery 491","2017-07-25","3.304"
"Avery 492","2017-05-01","2.304"
"Avery 492","2017-12-09","2.88"
"Avery 493","2017-02-18","4.91"
"Avery 494","2017-04-01","2.088"
"Avery 495","2017-08-15","6.3"
"Avery 496","2017-03-17","3.75"
"Avery 496","2017-04-23","3"
"Avery 497","2017-03-04","2.464"
"Avery 498","2017-04-01","2.89"
"Avery 498","2017-07-25","2.89"
"Avery 499","2017-04-02","4.9799999999999995"
"Avery 499","2017-04-30","3.984"
"Avery 499","2017-09-29","3.984"
"Avery 5","2017-04-30","2.88"
"Avery 50","2017-05-11","12.530000000000001"
"Avery 500","2017-10-30","7.31"
"Avery 501","2017-05-12","2.952"
"Avery 501","2017-09-09","2.952"
"Avery 502","2017-05-14","2.52"
"Avery 503","2017-11-06","10.35"
"Avery 505","2017-05-06","14.8"
"Avery 505","2017-05-14","14.8"
"Avery 505","2017-08-29","11.84"
"Avery 505","2017-09-02","14.8"
"Avery 506","2017-03-19","4.13"
"Avery 508","2017-06-20","4.91"
"Avery 509","2017-07-15","2.61"
"Avery 510","2017-01-19","3"
"Avery 510","2017-10-20","3.75"
"Avery 511","2017-03-06","2.464"
"Avery 511","2017-09-09","2.464"
"Avery 511","2017-09-22","3.08"
"Avery 511","2017-10-26","3.08"
"Avery 512","2017-06-10","2.89"
"Avery 512","2017-06-26","2.312"
"Avery 513","2017-11-03","4.9799999999999995"
"Avery 514","2017-09-17","2.88"
"Avery 515","2017-03-05","12.53"
"Avery 517","2017-04-17","3.69"
"Avery 517","2017-10-26","2.952"
"Avery 517","2017-12-22","3.69"
"Avery 518","2017-09-02","3.15"
"Avery 518","2017-10-19","3.15"
"Avery 519","2017-09-02","5.848"
"Avery 519","2017-09-07","5.848"
"Avery 519","2017-10-28","7.31"
"Avery 52","2017-10-13","3.69"
"Avery 52","2017-12-05","3.69"
"Avery 520","2017-12-03","3.15"
"Avery Address/Shipping Labels for Typewriters  4 x 2","2017-03-08","10.35"
"Avery Address/Shipping Labels for Typewriters  4 x 2","2017-04-27","8.28"
"Avery Address/Shipping Labels for Typewriters  4 x 2","2017-07-23","10.35"
"Avery Address/Shipping Labels for Typewriters  4 x 2","2017-08-21","10.35"
"Avery Address/Shipping Labels for Typewriters  4 x 2","2017-09-25","10.35"
"Avery Arch Ring Binders","2017-03-05","39.06"
"Avery Arch Ring Binders","2017-03-13","58.1"
"Avery Arch Ring Binders","2017-03-25","46.48"
"Avery Arch Ring Binders","2017-04-09","17.43"
"Avery Binder Labels","2017-05-30","3.89"
"Avery Binding System Hidden Tab Executive Style Index Sets","2017-03-16","1.7309999999999999"
"Avery Binding System Hidden Tab Executive Style Index Sets","2017-04-15","5.19"
